Scale	N	Estimated Area	Relative Error
2.000000	55100	2.900254	91.943739
2.000000	55600	2.832734	92.131295
2.000000	56100	2.806203	92.204991
2.000000	56600	2.802403	92.215548
2.000000	57100	2.806865	92.203152
2.000000	57600	2.790000	92.250000
2.000000	58100	2.846540	92.092943
2.000000	58600	2.784778	92.264505
2.000000	59100	2.784365	92.265651
2.000000	59600	2.813557	92.184564
2.000000	60100	2.826090	92.149750
2.000000	60600	2.832475	92.132013
2.000000	61100	2.830507	92.137480
2.000000	61600	2.861299	92.051948
2.000000	62100	2.880000	92.000000
2.000000	62600	2.800064	92.222045
2.000000	63100	2.907956	91.922345
2.000000	63600	2.838679	92.114780
2.000000	64100	2.805866	92.205928
2.000000	64600	2.902291	91.938080
2.000000	65100	2.828571	92.142857
2.000000	65600	2.774085	92.294207
2.000000	66100	2.865295	92.040847
2.000000	66600	2.878378	92.004505
2.000000	67100	2.832250	92.132638
2.000000	67600	2.795858	92.233728
2.000000	68100	2.816035	92.177680
2.000000	68600	2.871603	92.023324
2.000000	69100	2.889899	91.972504
2.000000	69600	2.869655	92.028736
2.000000	70100	2.850214	92.082739
2.000000	70600	2.786176	92.260623
2.000000	71100	2.738734	92.392405
2.000000	71600	2.848827	92.086592
2.000000	72100	2.872510	92.020804
2.000000	72600	2.911240	91.913223
2.000000	73100	2.824843	92.153215
2.000000	73600	2.855054	92.069293
2.000000	74100	2.851336	92.079622
2.000000	74600	2.848633	92.087131
2.000000	75100	2.760160	92.332889
2.000000	75600	2.844286	92.099206
2.000000	76100	2.862970	92.047306
2.000000	76600	2.851802	92.078329
2.000000	77100	2.831907	92.133593
2.000000	77600	2.816907	92.175258
2.000000	78100	2.803944	92.211268
2.000000	78600	2.837405	92.118321
2.000000	79100	2.809001	92.197219
2.000000	79600	2.793166	92.241206
2.000000	80100	2.862472	92.048689
2.000000	80600	2.811663	92.189826
2.000000	81100	2.905746	91.928483
2.000000	81600	2.832794	92.131127
2.000000	82100	2.864653	92.042631
2.000000	82600	2.812881	92.186441
2.000000	83100	2.831480	92.134777
2.000000	83600	2.868804	92.031100
2.000000	84100	2.841046	92.108205
2.000000	84600	2.821702	92.161939
2.000000	85100	2.811469	92.190364
2.000000	85600	2.900607	91.942757
2.000000	86100	2.854495	92.070848
2.000000	86600	2.867113	92.035797
2.000000	87100	2.811803	92.189437
2.000000	87600	2.837260	92.118721
2.000000	88100	2.866107	92.038593
2.000000	88600	2.861716	92.050790
2.000000	89100	2.873939	92.016835
2.000000	89600	2.814107	92.183036
2.000000	90100	2.875605	92.012209
2.000000	90600	2.858940	92.058499
2.000000	91100	2.829418	92.140505
2.000000	91600	2.903581	91.934498
2.000000	92100	2.824104	92.155266
2.000000	92600	2.849287	92.085313
2.000000	93100	2.886574	91.981740
2.000000	93600	2.843077	92.102564
2.000000	94100	2.851690	92.078640
2.000000	94600	2.763932	92.322410
2.000000	95100	2.842145	92.105152
2.000000	95600	2.827280	92.146444
2.000000	96100	2.849282	92.085328
2.000000	96600	2.863230	92.046584
2.000000	97100	2.861092	92.052523
2.000000	97600	2.834631	92.126025
2.000000	98100	2.804404	92.209990
2.000000	98600	2.854807	92.069980
2.000000	99100	2.830232	92.138244
2.000000	99600	2.848193	92.088353
